LEVEL_3_CO,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,RANGE_AREA,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,ENDEMIC_SEQ,GEN_DUP
MXI,166,0.694560669456067,239,20.8200836820084,4,7967005.52384937,51,0.213389121338912,0.728033472803347,0.313725490196078,0.0453059623430962
KUR,869,0.822916666666667,1056,30.438446969697,14,16830711.9780208,32,0.0303030303030303,0.0767045454545455,0.1875,0.0808549360795455
CHN,3974,0.760283145207576,5227,14.2997895542376,6,9791779.322489,386,0.0738473311651043,0.55022001147886,0.199481865284974,0.0681467620049742
KOR,2409,0.834141274238227,2888,20.3895429362881,9,11785282.1005644,223,0.0772160664819945,0.260387811634349,0.434977578475336,0.0806110413781163
NSW,3560,0.622813156053184,5716,5.96553533939818,3,4316451.68658327,1225,0.214310706787964,0.844296710986704,0.444081632653061,0.0308235654303709
NTA,2053,0.520141879908791,3947,9.11933113757284,3,7268531.49731188,676,0.171269318469724,0.838864960729668,0.25887573964497,0.0271190936154041
QLD,4592,0.586987089351911,7823,6.96037325834079,2,5296243.1703413,2446,0.312667774511057,0.816694362776428,0.450122649223222,0.0296421609357024
SOA,1862,0.596794871794872,3120,6.37339743589744,4,5299757.43486538,442,0.141666666666667,0.842628205128205,0.361990950226244,0.0266801883012821
VIC,1979,0.619405320813772,3195,6.04350547730829,3,4036860.45405321,334,0.104538341158059,0.828169014084507,0.350299401197605,0.0298170970266041
MXT,5058,0.598509052183174,8451,13.06531771388,7,4936774.96629748,555,0.0656727014554491,0.716719914802982,0.209009009009009,0.0346186841793871
CLS,860,0.666150271107668,1291,7.58791634391944,3,3610218.61574748,67,0.0518977536793184,0.516653756777692,0.17910447761194,0.0412652498063517
ASK,1189,0.90763358778626,1310,32.3099236641221,19,18846929.2215573,24,0.0183206106870229,0.831297709923664,0.333333333333333,0.076580391221374
ALU,326,0.908077994428969,359,37.6155988857939,24,21865993.2795543,3,0.00835654596100279,0.554317548746518,0.333333333333333,0.0799529944289694
NWT,929,0.943147208121827,985,38.9979695431472,29,22337704.7646599,3,0.00304568527918782,0.445685279187817,0.666666666666667,0.086302347715736
YUK,983,0.93175355450237,1055,35.9061611374408,25,21028141.3673081,8,0.00758293838862559,0.871090047393365,0.625,0.0801836492890995
PAK,2985,0.676104190260476,4415,20.4799546998868,9,12132103.9685595,243,0.055039637599094,0.441223103057758,0.0864197530864197,0.0506476500566251
CHT,4058,0.622011036174126,6524,10.0453709380748,4,6484317.03561312,933,0.143010423053341,0.362967504598406,0.19935691318328,0.0463385193133047
AMU,1129,0.818709209572154,1379,29.9412617839014,15,19041146.9830747,17,0.0123277737490935,0.0862944162436548,0.0588235294117647,0.0788275018129079
KHA,1406,0.790776152980877,1778,27.7424071991001,14,17771242.7222216,48,0.0269966254218223,0.0911136107986502,0.0416666666666667,0.0724260053430821
PRM,1493,0.789112050739958,1892,25.7029598308668,12,15347249.8559725,101,0.0533826638477801,0.12262156448203,0.099009900990099,0.0747720665961945
CHM,1935,0.817836010143702,2366,23.9268808114962,11,14996318.1645773,75,0.0316990701606086,0.371090448013525,0.12,0.0778839549873204
CPP,7962,0.516409391620184,15418,4.07141004021274,1,2187635.3907848,10635,0.689778181346478,0.792450382669607,0.472872590503056,0.0262132734466208
OFS,1514,0.600079270709473,2523,13.0356718192628,5,6392434.48888625,26,0.0103051922314705,0.72294887039239,0.0769230769230769,0.0357182669441141
NAT,2978,0.610871794871795,4875,12.9470769230769,5,6494371.78782769,430,0.0882051282051282,0.707282051282051,0.267441860465116,0.0351939102564103
